## Parameterisation for Ruddy Turnstones (following Aharon-Rothman et al. 2016),,,,,,,,,,,,,,,,,,,,
# Site-specific parameters,,,,,,,,,,,,,,,,,,,,
Code,Lon,Lat,b0,b1,b2,stoch,x1,x2,y1,y2,dee_t1,dee_t2,dee_t3,dee_t4,dee_t5,dee_y1,dee_y2,dee_y3,dee_y4,dee_y5
South Australia,140.11,-37.54,1.00E-04,1.00E-05,1.00E-04,1,0,100,11,11,0,28,58,89,100,8.2,8.2,8.2,12.4,12.4
NW Australia ,122,-17.5,1.00E-04,1.00E-05,1.00E-04,1,0,100,5.65,5.65,0,28,58,89,100,4.4,4.4,4.4,5.5,5.5
Indonesia,117.58,0.15,1.00E-04,1.00E-05,1.00E-04,1,0,100,5.18,5.18,0,28,58,89,100,4.4,4.4,4.4,4.4,4.4
Pacific  ,172,18,1.00E-04,1.00E-05,1.00E-04,1,0,100,5.77,5.77,0,28,58,89,100,4.8,4.6,4.4,4.4,4.4
Taiwan,120,27.2,1.00E-04,1.00E-05,1.00E-04,1,0,100,7.75,7.75,0,28,58,89,100,8.5,6.8,5.4,4.5,4.5
Tokyo,140.75,35.94,1.00E-04,1.00E-05,1.00E-04,1,0,100,9.25,9.25,0,28,58,89,100,8.9,7.8,6.5,5.4,5.4
NYS,123,39.9,1.00E-04,1.00E-05,1.00E-04,1,0,100,11.85,11.85,0,28,58,89,100,13.1,10.9,8.1,6,6
Sakhalin,137.5,56,1.00E-04,1.00E-05,1.00E-04,1,0,100,16.52,16.52,0,28,58,89,100,19.6,15.9,13.9,12,12
Alaska,-164.47,63.04,1.00E-04,1.00E-05,1.00E-04,1,0,100,15.75,15.75,0,28,58,89,100,18.7,16.3,12.8,10.1,10.1
Breeding grounds,149,71.67,1.00E-04,1.00E-05,1.00E-04,1,0,100,NA,NA,0,28,58,89,100,NA,NA,NA,NA,NA
